bucket_id,member
CHEMBL49035,CHEMBL11684
CHEMBL49035,CHEMBL100
CHEMBL49035,CHEMBL49035
CHEMBL431276,CHEMBL431276
CHEMBL431276,CHEMBL100234
CHEMBL100764,CHEMBL100764
CHEMBL100764,CHEMBL98223
CHEMBL101316,CHEMBL101316
CHEMBL101316,CHEMBL98539
CHEMBL102059,CHEMBL102059
CHEMBL102059,CHEMBL98800
CHEMBL431250,CHEMBL431250
CHEMBL431250,CHEMBL102150
CHEMBL316845,CHEMBL316845
CHEMBL316845,CHEMBL102197
CHEMBL1169547,CHEMBL1169547
CHEMBL1169547,CHEMBL24035
CHEMBL1200467,CHEMBL1200467
CHEMBL1200467,CHEMBL896
CHEMBL555571,CHEMBL555571
CHEMBL555571,CHEMBL124642
CHEMBL67378,CHEMBL611159
CHEMBL67378,CHEMBL13470
CHEMBL67378,CHEMBL67378
CHEMBL611160,CHEMBL611160
CHEMBL611160,CHEMBL153648
CHEMBL2374437,CHEMBL2374437
CHEMBL2374437,CHEMBL346625
CHEMBL70111,CHEMBL303855
CHEMBL70111,CHEMBL25230
CHEMBL70111,CHEMBL67195
CHEMBL70111,CHEMBL70111
CHEMBL330644,CHEMBL330644
CHEMBL330644,CHEMBL98846
CHEMBL430851,CHEMBL430851
CHEMBL430851,CHEMBL97883
CHEMBL5483012,CHEMBL5483012
CHEMBL5483012,CHEMBL179334
CHEMBL323579,CHEMBL323579
CHEMBL323579,CHEMBL180932
CHEMBL95736,CHEMBL95736
CHEMBL95736,CHEMBL95434
CHEMBL100067,CHEMBL100067
CHEMBL100067,CHEMBL99262
CHEMBL317391,CHEMBL317391
CHEMBL317391,CHEMBL98858
CHEMBL318884,CHEMBL318884
CHEMBL318884,CHEMBL63154
CHEMBL329499,CHEMBL327282
CHEMBL329499,CHEMBL327273
CHEMBL329499,CHEMBL329499
CHEMBL98636,CHEMBL98636
CHEMBL98636,CHEMBL98081
CHEMBL101545,CHEMBL101545
CHEMBL101545,CHEMBL100643
CHEMBL5289078,CHEMBL100116
CHEMBL5289078,CHEMBL60542
CHEMBL5289078,CHEMBL305593
CHEMBL5289078,CHEMBL397705
CHEMBL5289078,CHEMBL5289078
CHEMBL277927,CHEMBL101510
CHEMBL277927,CHEMBL98883
CHEMBL277927,CHEMBL2368401
CHEMBL277927,CHEMBL274099
CHEMBL277927,CHEMBL277927
CHEMBL326571,CHEMBL326571
CHEMBL326571,CHEMBL113703
CHEMBL326548,CHEMBL114163
CHEMBL326548,CHEMBL114123
CHEMBL326548,CHEMBL114358
CHEMBL326548,CHEMBL115998
CHEMBL326548,CHEMBL116354
CHEMBL326548,CHEMBL116643
CHEMBL326548,CHEMBL116738
CHEMBL326548,CHEMBL117183
CHEMBL326548,CHEMBL117321
CHEMBL326548,CHEMBL324392
CHEMBL326548,CHEMBL324505
CHEMBL326548,CHEMBL326548
CHEMBL326370,CHEMBL326370
CHEMBL326370,CHEMBL114203
CHEMBL257661,CHEMBL117128
CHEMBL257661,CHEMBL115917
CHEMBL257661,CHEMBL257661
CHEMBL117379,CHEMBL117379
CHEMBL117379,CHEMBL117319
CHEMBL2368134,CHEMBL2368128
CHEMBL2368134,CHEMBL148240
CHEMBL2368134,CHEMBL2368131
CHEMBL2368134,CHEMBL2368134
CHEMBL4214248,CHEMBL4214248
CHEMBL4214248,CHEMBL2368123
CHEMBL4209962,CHEMBL4209962
CHEMBL4209962,CHEMBL2368124
CHEMBL4207341,CHEMBL4207341
CHEMBL4207341,CHEMBL2368132
CHEMBL4204891,CHEMBL4204891
CHEMBL4204891,CHEMBL2368133
CHEMBL326103,CHEMBL326103
CHEMBL326103,CHEMBL325052
CHEMBL141363,CHEMBL141363
CHEMBL141363,CHEMBL139539
CHEMBL337771,CHEMBL337771
CHEMBL337771,CHEMBL143294
CHEMBL3398152,CHEMBL3398152
CHEMBL3398152,CHEMBL3398151
CHEMBL517384,CHEMBL517384
CHEMBL517384,CHEMBL450723
CHEMBL4798826,CHEMBL4798826
CHEMBL4798826,CHEMBL4760053
CHEMBL316625,CHEMBL316625
CHEMBL316625,CHEMBL100147
CHEMBL327269,CHEMBL1169506
CHEMBL327269,CHEMBL100163
CHEMBL327269,CHEMBL327269
CHEMBL98828,CHEMBL100195
CHEMBL98828,CHEMBL98570
CHEMBL98828,CHEMBL318501
CHEMBL98828,CHEMBL98828
CHEMBL268431,CHEMBL268431
CHEMBL268431,CHEMBL16687
CHEMBL2112381,CHEMBL2112381
CHEMBL2112381,CHEMBL2111571
CHEMBL2114300,CHEMBL2114300
CHEMBL2114300,CHEMBL2112385
CHEMBL319976,CHEMBL319941
CHEMBL319976,CHEMBL97700
CHEMBL319976,CHEMBL319976
CHEMBL540542,CHEMBL540542
CHEMBL540542,CHEMBL117248
CHEMBL403516,CHEMBL403516
CHEMBL403516,CHEMBL112415
CHEMBL513640,CHEMBL513640
CHEMBL513640,CHEMBL267024
CHEMBL28457,CHEMBL28457
CHEMBL28457,CHEMBL9470
CHEMBL91008,CHEMBL91008
CHEMBL91008,CHEMBL90140
CHEMBL102013,CHEMBL102013
CHEMBL102013,CHEMBL100358
CHEMBL320451,CHEMBL103349
CHEMBL320451,CHEMBL101058
CHEMBL320451,CHEMBL320451
CHEMBL406036,CHEMBL316574
CHEMBL406036,CHEMBL103073
CHEMBL406036,CHEMBL318532
CHEMBL406036,CHEMBL406036
CHEMBL420091,CHEMBL317661
CHEMBL420091,CHEMBL265055
CHEMBL420091,CHEMBL319089
CHEMBL420091,CHEMBL420091
CHEMBL317610,CHEMBL316615
CHEMBL317610,CHEMBL99904
CHEMBL317610,CHEMBL317610
CHEMBL5280610,CHEMBL5276035
CHEMBL5280610,CHEMBL5266462
CHEMBL5280610,CHEMBL5280610
CHEMBL5077459,CHEMBL336296
CHEMBL5077459,CHEMBL130266
CHEMBL5077459,CHEMBL483502
CHEMBL5077459,CHEMBL5077459
CHEMBL384527,CHEMBL384527
CHEMBL384527,CHEMBL214698
CHEMBL4875504,CHEMBL4875504
CHEMBL4875504,CHEMBL3606064
CHEMBL4877929,CHEMBL4877929
CHEMBL4877929,CHEMBL507060
CHEMBL5275764,CHEMBL5275764
CHEMBL5275764,CHEMBL54918
CHEMBL10072,CHEMBL10072
CHEMBL10072,CHEMBL10026
CHEMBL344034,CHEMBL344034
CHEMBL344034,CHEMBL343046
CHEMBL3397748,CHEMBL3397747
CHEMBL3397748,CHEMBL3397746
CHEMBL3397748,CHEMBL3397748
CHEMBL111028,CHEMBL111028
CHEMBL111028,CHEMBL109327
CHEMBL112708,CHEMBL112708
CHEMBL112708,CHEMBL109554
CHEMBL124283,CHEMBL124283
CHEMBL124283,CHEMBL47029
CHEMBL127378,CHEMBL127378
CHEMBL127378,CHEMBL55734
CHEMBL334369,CHEMBL334369
CHEMBL334369,CHEMBL133719
CHEMBL339020,CHEMBL339020
CHEMBL339020,CHEMBL13786
CHEMBL15595,CHEMBL15595
CHEMBL15595,CHEMBL8234
CHEMBL328443,CHEMBL328443
CHEMBL328443,CHEMBL214929
CHEMBL268984,CHEMBL268984
CHEMBL268984,CHEMBL217379
CHEMBL2372197,CHEMBL2372197
CHEMBL2372197,CHEMBL2311114
CHEMBL408557,CHEMBL274875
CHEMBL408557,CHEMBL263031
CHEMBL408557,CHEMBL408557
CHEMBL293465,CHEMBL293465
CHEMBL293465,CHEMBL63188
CHEMBL62688,CHEMBL62688
CHEMBL62688,CHEMBL60936
CHEMBL439047,CHEMBL2111612
CHEMBL439047,CHEMBL102293
CHEMBL439047,CHEMBL294888
CHEMBL439047,CHEMBL400694
CHEMBL439047,CHEMBL439047
CHEMBL100563,CHEMBL100563
CHEMBL100563,CHEMBL29483
CHEMBL100722,CHEMBL100722
CHEMBL100722,CHEMBL100619
CHEMBL2047024,CHEMBL2047024
CHEMBL2047024,CHEMBL2047020
CHEMBL2326729,CHEMBL2326729
CHEMBL2326729,CHEMBL2326728
CHEMBL4514330,CHEMBL4514330
CHEMBL4514330,CHEMBL4448385
CHEMBL4742241,CHEMBL4742241
CHEMBL4742241,CHEMBL4452620
CHEMBL5416701,CHEMBL5413121
CHEMBL5416701,CHEMBL5396642
CHEMBL5416701,CHEMBL5416701
CHEMBL61512,CHEMBL298827
CHEMBL61512,CHEMBL10247
CHEMBL61512,CHEMBL61512
CHEMBL105142,CHEMBL105142
CHEMBL105142,CHEMBL45357
CHEMBL1084929,CHEMBL1084929
CHEMBL1084929,CHEMBL382739
CHEMBL3098603,CHEMBL3098603
CHEMBL3098603,CHEMBL1089339
