dup_id,canonical_id,rule,score
CHEMBL99262,CHEMBL100067,InChIKeyFull,1.0
CHEMBL29483,CHEMBL100563,InChIKeyFull,1.0
CHEMBL100722,CHEMBL100619,InChIKeyFull,1.0
CHEMBL101545,CHEMBL100643,InChIKeyFull,1.0
CHEMBL98472,CHEMBL100666,InChIKeyFull,1.0
CHEMBL102115,CHEMBL100672,InChIKeyFull,1.0
CHEMBL266314,CHEMBL1007,InChIKeyFull,1.0
CHEMBL99622,CHEMBL100989,InChIKeyFull,1.0
CHEMBL102081,CHEMBL101030,InChIKeyFull,1.0
CHEMBL420007,CHEMBL101054,InChIKeyFull,1.0
CHEMBL75232,CHEMBL101253,InChIKeyFull,1.0
CHEMBL536535,CHEMBL101299,InChIKeyFull,1.0
CHEMBL330207,CHEMBL101654,InChIKeyFull,1.0
CHEMBL1996176,CHEMBL101797,InChIKeyFull,1.0
CHEMBL86755,CHEMBL101797,InChIKeyFull,1.0
CHEMBL5290464,CHEMBL10195,InChIKeyFull,1.0
CHEMBL317747,CHEMBL102107,InChIKeyFull,1.0
CHEMBL175620,CHEMBL102121,InChIKeyFull,1.0
CHEMBL2370416,CHEMBL102216,InChIKeyFull,1.0
CHEMBL554551,CHEMBL102341,InChIKeyFull,1.0
CHEMBL298827,CHEMBL10247,InChIKeyFull,1.0
CHEMBL61512,CHEMBL10247,InChIKeyFull,1.0
CHEMBL2370424,CHEMBL102552,InChIKeyFull,1.0
CHEMBL588,CHEMBL1026,InChIKeyFull,1.0
CHEMBL1695,CHEMBL1027,InChIKeyFull,1.0
CHEMBL171480,CHEMBL103059,InChIKeyFull,1.0
CHEMBL543467,CHEMBL10316,InChIKeyFull,1.0
CHEMBL313578,CHEMBL103307,InChIKeyFull,1.0
CHEMBL315663,CHEMBL10339,InChIKeyFull,1.0
CHEMBL139,CHEMBL1034,InChIKeyFull,1.0
CHEMBL1257131,CHEMBL10347,InChIKeyFull,1.0
CHEMBL454736,CHEMBL103817,InChIKeyFull,1.0
CHEMBL296911,CHEMBL104022,InChIKeyFull,1.0
CHEMBL320402,CHEMBL104022,InChIKeyFull,1.0
CHEMBL1315166,CHEMBL104264,InChIKeyFull,1.0
CHEMBL1214049,CHEMBL104436,InChIKeyFull,1.0
CHEMBL318395,CHEMBL104436,InChIKeyFull,1.0
CHEMBL4081736,CHEMBL104568,InChIKeyFull,1.0
CHEMBL45162,CHEMBL104722,InChIKeyFull,1.0
CHEMBL278515,CHEMBL104829,InChIKeyFull,1.0
CHEMBL5280240,CHEMBL10483,InChIKeyFull,1.0
CHEMBL107754,CHEMBL104842,InChIKeyFull,1.0
CHEMBL356792,CHEMBL104970,InChIKeyFull,1.0
CHEMBL45357,CHEMBL105142,InChIKeyFull,1.0
CHEMBL5266498,CHEMBL10534,InChIKeyFull,1.0
