a,b,rule,fp
CHEMBL100,CHEMBL49035,FP,1.0
CHEMBL100,CHEMBL11684,FP,1.0
CHEMBL49035,CHEMBL100,FP,1.0
CHEMBL49035,CHEMBL11684,FP,1.0
CHEMBL11684,CHEMBL100,FP,1.0
CHEMBL11684,CHEMBL49035,FP,1.0
CHEMBL100067,CHEMBL99262,FP,1.0
CHEMBL99262,CHEMBL100067,FP,1.0
CHEMBL5289078,CHEMBL60542,FP,1.0
CHEMBL5289078,CHEMBL397705,FP,1.0
CHEMBL5289078,CHEMBL100116,FP,1.0
CHEMBL5289078,CHEMBL305593,FP,1.0
CHEMBL60542,CHEMBL5289078,FP,1.0
CHEMBL60542,CHEMBL397705,FP,1.0
CHEMBL60542,CHEMBL100116,FP,1.0
CHEMBL60542,CHEMBL305593,FP,1.0
CHEMBL397705,CHEMBL5289078,FP,1.0
CHEMBL397705,CHEMBL60542,FP,1.0
CHEMBL397705,CHEMBL100116,FP,1.0
CHEMBL397705,CHEMBL305593,FP,1.0
CHEMBL100116,CHEMBL5289078,FP,1.0
CHEMBL100116,CHEMBL60542,FP,1.0
CHEMBL100116,CHEMBL397705,FP,1.0
CHEMBL100116,CHEMBL305593,FP,1.0
CHEMBL305593,CHEMBL5289078,FP,1.0
CHEMBL305593,CHEMBL60542,FP,1.0
CHEMBL305593,CHEMBL397705,FP,1.0
CHEMBL305593,CHEMBL100116,FP,1.0
CHEMBL316625,CHEMBL100147,FP,1.0
CHEMBL100147,CHEMBL316625,FP,1.0
CHEMBL327269,CHEMBL1169506,FP,1.0
CHEMBL327269,CHEMBL100163,FP,1.0
CHEMBL1169506,CHEMBL327269,FP,1.0
CHEMBL1169506,CHEMBL100163,FP,1.0
CHEMBL100163,CHEMBL327269,FP,1.0
CHEMBL100163,CHEMBL1169506,FP,1.0
CHEMBL431276,CHEMBL100234,FP,1.0
CHEMBL100234,CHEMBL431276,FP,1.0
CHEMBL10072,CHEMBL10026,FP,1.0
CHEMBL10026,CHEMBL10072,FP,1.0
CHEMBL29483,CHEMBL100563,FP,1.0
CHEMBL100563,CHEMBL29483,FP,1.0
CHEMBL100619,CHEMBL100722,FP,1.0
CHEMBL100722,CHEMBL100619,FP,1.0
CHEMBL101545,CHEMBL100643,FP,1.0
CHEMBL100643,CHEMBL101545,FP,1.0
CHEMBL100666,CHEMBL98472,FP,1.0
CHEMBL98472,CHEMBL100666,FP,1.0
CHEMBL102115,CHEMBL100672,FP,1.0
CHEMBL100672,CHEMBL102115,FP,1.0
CHEMBL98223,CHEMBL100764,FP,1.0
CHEMBL100764,CHEMBL98223,FP,1.0
CHEMBL99780,CHEMBL100818,FP,1.0
CHEMBL100818,CHEMBL99780,FP,1.0
CHEMBL101231,CHEMBL100890,FP,1.0
